N,f,M,latency
3,1,3,78.78265702724457
3,1,10,114.67804998159409
3,1,100,276.5664150118828
10,4,3,56.74728101491928
10,4,10,171.3189309835434
10,4,100,289.09958201646805
100,49,3,998.7417799830437
100,49,10,1328.0406870245934
100,49,100,4842.299251973629
